,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,P.S. 076 A. Philip Randolph,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10035.0,40.802419,-73.942634,11.0,9.0,198.0,1053968.0,1017470001.0,East Harlem North                                                          
1,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,1.0,3.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10031.0,40.829832,-73.944789,9.0,7.0,237.0,1087824.0,1020840129.0,Hamilton Heights                                                           
2,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
3,P.S. 058,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
4,P.S. 059 The Community School of Technology,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
5,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10459.0,40.827315,-73.897612,2.0,17.0,131.0,2005276.0,2026920014.0,Longwood                                                                   
6,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10475.0,40.864676,-73.824303,10.0,12.0,302.0,2072352.0,2051350200.0,Co-op City                                                                 
7,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
8,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
9,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,1.0,5.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
10,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
11,P.S. 051 Elias Howe,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10039.0,40.826126,-73.937982,10.0,9.0,236.0,1060596.0,1020360047.0,Central Harlem North-Polo Grounds                                          
12,P.S. M079 - Horan School,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10029.0,40.793194,-73.942548,11.0,8.0,180.0,1052436.0,1016590012.0,East Harlem North                                                          
13,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11205.0,40.696324,-73.97578,2.0,35.0,211.0,3057942.0,3020280001.0,Fort Greene                                                                
14,P.S. 048 Mapleton,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11204.0,40.621871,-73.987396,12.0,44.0,244.0,3132140.0,3055190001.0,Borough Park                                                               
15,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10026.0,40.797874,-73.949699,10.0,9.0,186.0,1051410.0,1015950015.0,Central Harlem South                                                       
16,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11234.0,40.621224,-73.91287,18.0,46.0,69602.0,3236496.0,3083880002.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
17,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10038.0,40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
18,South Brooklyn Community High School,2.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11215.0,40.676668,-73.985258,6.0,39.0,119.0,3007707.0,3004550001.0,Park Slope-Gowanus                                                         
19,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",,,2C,1-250,,,,,,10003.0,40.729636,-73.983818,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
20,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10010.0,40.738548,-73.982455,6.0,2.0,64.0,,,Gramercy                                                                   
21,Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11201.0,40.685419,-73.993351,6.0,33.0,69.0,3006401.0,3004020001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
22,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10011.0,40.742129,-74.002198,4.0,3.0,83.0,1079152.0,1007410010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
23,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11213.0,40.675612,-73.938843,8.0,36.0,311.0,3030553.0,3012160046.0,Crown Heights North                                                        
24,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,4C,501-750,,,,,,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
25,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10030.0,40.817372,-73.947712,10.0,9.0,22102.0,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          
26,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,3.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11212.0,40.658295,-73.920109,17.0,41.0,886.0,3101840.0,3046690037.0,Rugby-Remsen Village                                                       
27,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10002.0,40.720581,-73.985645,3.0,1.0,3001.0,1004323.0,1003540080.0,Chinatown                                                                  
28,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10009.0,40.72438,-73.98138,3.0,2.0,2601.0,1004627.0,1003870001.0,Lower East Side                                                            
29,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11221.0,40.691037,-73.941342,3.0,36.0,281.0,3049858.0,3017870014.0,Stuyvesant Heights                                                         
30,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,7C,1251-1500,,,,,,11215.0,40.660024,-73.987637,7.0,38.0,147.0,3331276.0,3008800001.0,Sunset Park West                                                           
31,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11207.0,40.668167,-73.897835,5.0,42.0,1134.0,3084283.0,3037680001.0,East New York (Pennsylvania Ave)                                           
32,P.S. 052 Sheepshead Bay,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11235.0,40.58792,-73.940532,15.0,48.0,600.0,3205435.0,3074740001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
33,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,3.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10034.0,40.8654,-73.921101,12.0,10.0,293.0,1081910.0,1022260041.0,Marble Hill-Inwood                                                         
34,P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11212.0,40.666545,-73.910904,16.0,41.0,924.0,3081442.0,3035420001.0,Brownsville                                                                
35,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10034.0,40.866053,-73.924835,12.0,10.0,291.0,1076776.0,1022330020.0,Marble Hill-Inwood                                                         
36,Fiorello H. LaGuardia High School of Music & Art a,3.0,0.0,11C,2501-3000,3.14,13.0,34.86,8.29,5.29,10022.0,40.75924,-73.967203,6.0,4.0,108.0,1088892.0,1013300013.0,Turtle Bay-East Midtown                                                    
37,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11201.0,40.697339,-73.985016,2.0,33.0,15.0,3000216.0,3001200020.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
38,P.S. 044 Marcus Garvey,2.0,1.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11221.0,40.686592,-73.940747,3.0,36.0,277.0,3051540.0,3018210001.0,Stuyvesant Heights                                                         
39,P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.708723,-73.940002,1.0,34.0,485.0,3071024.0,3030460001.0,Bushwick South                                                             
40,P.S. 226 Alfred De B.Mason,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11204.0,40.62191,-73.995022,11.0,38.0,250.0,3133741.0,3055510018.0,Bensonhurst West                                                           
41,P.S. 288 The Shirley Tanyhill,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11213.0,40.674794,-73.942639,8.0,36.0,341.0,3031050.0,3012290028.0,Crown Heights North                                                        
42,The Maurice Sendak Community School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11211.0,40.705898,-73.955611,1.0,33.0,529.0,3379706.0,3022070002.0,Williamsburg                                                               
43,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10023.0,40.774351,-73.984753,7.0,6.0,151.0,1030343.0,1011570025.0,Lincoln Square                                                             
44,P.S. 307 Daniel Hale Williams |  Satellite West Middle School |  209 YORK STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11201.0,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
45,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11215.0,40.660024,-73.987637,7.0,38.0,147.0,3331276.0,3008800001.0,Sunset Park West                                                           
46,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10040.0,40.86079,-73.930672,12.0,10.0,285.0,1076756.0,1021720016.0,Washington Heights North                                                   
47,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,0.0,2.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,10023.0,40.774351,-73.984753,7.0,6.0,151.0,1030343.0,1011570025.0,Lincoln Square                                                             
48,P.S. 329 Surfside,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11209.0,40.63359,-74.023948,10.0,43.0,68.0,3146550.0,3058910048.0,Bay Ridge                                                                  
49,P.S. 290 Manhattan New School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10031.0,40.820953,-73.951145,9.0,7.0,22301.0,1084132.0,1019880166.0,Manhattanville                                                             
50,P.S. 087 William Sherman,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10026.0,40.802207,-73.954142,10.0,9.0,218.0,1055204.0,1018300019.0,Central Harlem South                                                       
51,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
52,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10025.0,40.791728,-73.970845,7.0,6.0,177.0,1032522.0,1012230005.0,Upper West Side                                                            
53,P.S. 130 Hernando De Soto,2.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10002.0,40.716553,-73.993092,3.0,1.0,16.0,1082489.0,1003010003.0,Chinatown                                                                  
54,P.S. 307 Daniel Hale Williams| 209 YORK STREET CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11201.0,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
55,P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.702427,-73.952985,1.0,33.0,531.0,3061235.0,3022360009.0,Bedford                                                                    
56,P.S. 002 Meyer London,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10014.0,40.732593,-74.006466,2.0,3.0,73.0,1009872.0,1005850041.0,West Village                                                               
57,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10003.0,40.729636,-73.983818,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
58,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10030.0,40.817372,-73.947712,10.0,9.0,22102.0,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          
59,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,3.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10075.0,40.770419,-73.951135,8.0,5.0,132.0,1046411.0,1014890001.0,Lenox Hill-Roosevelt Island                                                
60,P.S. 086 The Irvington,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11237.0,40.700774,-73.91748,4.0,37.0,431.0,3075109.0,3032890027.0,Bushwick North                                                             
61,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11208.0,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
62,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,6.0,9.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
63,P.S. 184m Shuang Wen,0.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10002.0,40.71925,-73.983056,3.0,1.0,2201.0,1004091.0,1003440001.0,Lower East Side                                                            
64,P.S. 139 Alexine A. Fenty,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11231.0,40.68007,-74.001377,6.0,39.0,63.0,3336036.0,3003690001.0,Carroll Gardens-Columbia Street-Red Hook                                   
65,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10016.0,40.746176,-73.981241,5.0,2.0,72.0,1087537.0,1008897501.0,Murray Hill-Kips Bay                                                       
66,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10011.0,40.742867,-74.002136,4.0,3.0,89.0,1013096.0,1007420007.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
67,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11206.0,40.696733,-73.943652,3.0,36.0,28502.0,3048546.0,3017490001.0,Stuyvesant Heights                                                         
68,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,,,2C,1-250,,,,,,11217.0,40.678983,-73.976497,6.0,39.0,12902.0,3259250.0,3009410050.0,Park Slope-Gowanus                                                         
69,James Weldon Johnson,0.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10019.0,40.763866,-73.985939,4.0,3.0,133.0,1025241.0,1010430022.0,Clinton                                                                    
70,P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11210.0,40.63694,-73.937339,17.0,45.0,836.0,3113388.0,3049880066.0,East Flatbush-Farragut                                                     
71,The Urban Assembly School for Global Commerce|  Harlem Children's Zone Promise Academy II Charter|   2005 MADISON AVENUE CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,10002.0,40.72252,-73.990728,3.0,1.0,3601.0,1005626.0,1004220072.0,Chinatown                                                                  
72,P.S. 123 Suydam,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11215.0,40.667545,-73.991046,6.0,39.0,141.0,3023391.0,3010340001.0,Park Slope-Gowanus                                                         
73,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,5.0,2.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,10011.0,40.742867,-74.002136,4.0,3.0,89.0,1013096.0,1007420007.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
74,P.S. K134,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11234.0,40.628659,-73.92793,18.0,45.0,728.0,3215550.0,3077750001.0,Flatlands                                                                  
75,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",0.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10002.0,40.72154,-73.986648,3.0,1.0,3001.0,1004325.0,1003550001.0,Chinatown                                                                  
76,P.S. 308 Clara Cardwell|  Teaching Firms of America-Professional Preparatory|  616 QUINCY STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11221.0,40.688695,-73.935499,3.0,36.0,293.0,3044493.0,3016300001.0,Stuyvesant Heights                                                         
77,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11208.0,40.664075,-73.866092,5.0,42.0,1220.0,3098980.0,3045300001.0,East New York                                                              
78,P.S. 048 P.O. Michael J. Buczek,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10029.0,40.785258,-73.941526,11.0,8.0,162.0,1083933.0,1016940001.0,East Harlem South                                                          
79,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,1.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11212.0,40.666545,-73.910904,16.0,41.0,924.0,3081442.0,3035420001.0,Brownsville                                                                
80,East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11203.0,40.65843,-73.929076,17.0,41.0,880.0,3099733.0,3046060025.0,Prospect Lefferts Gardens-Wingate                                          
81,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10034.0,40.866053,-73.924835,12.0,10.0,291.0,1076776.0,1022330020.0,Marble Hill-Inwood                                                         
82,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",,,2C,1-250,,,,,,11206.0,40.709941,-73.943641,1.0,34.0,505.0,3070825.0,3030250001.0,East Williamsburg                                                          
83,The Urban Assembly School for Law and Justice |  Urban Assembly Institute of Math and Science for Y |  283 ADAMS STREET CONSOLIDATED LOCATION,2.0,4.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,,,,,,,,,
84,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,,,,,,,,,
85,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,4.0,2.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,11207.0,40.690353,-73.904803,4.0,37.0,409.0,3080043.0,3034420001.0,Bushwick North                                                             
86, Brooklyn Gardens Elementary School |  School of the Future Brooklyn |  574 DUMONT AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11212.0,40.665878,-73.911705,16.0,41.0,924.0,3081419.0,3035410001.0,Brownsville                                                                
87,P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10282.0,40.716668,-74.013542,1.0,1.0,31703.0,1085568.0,1000160220.0,Battery Park City-Lower Manhattan                                          
88,P.S. K004,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,,,,,,,,,
89,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11215.0,40.669629,-73.979287,6.0,39.0,155.0,3025510.0,3010820001.0,Park Slope-Gowanus                                                         
90,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",,,2C,1-250,,,,,,11205.0,40.692642,-73.958794,3.0,33.0,235.0,3055165.0,3019260010.0,Clinton Hill                                                               
91,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10016.0,40.746176,-73.981241,5.0,2.0,72.0,1087537.0,1008897501.0,Murray Hill-Kips Bay                                                       
92,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11233.0,40.673073,-73.919594,16.0,41.0,363.0,3039174.0,3014570032.0,Ocean Hill                                                                 
93,P.S. 133 Fred R Moore,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10002.0,40.71457,-73.983724,3.0,1.0,202.0,1003736.0,1002880015.0,Lower East Side                                                            
94,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11238.0,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
95,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11221.0,40.692126,-73.931731,3.0,36.0,291.0,3393805.0,3016160001.0,Stuyvesant Heights                                                         
96,University Neighborhood High School,2.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
97,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11236.0,40.633285,-73.916735,18.0,46.0,950.0,3224139.0,3079980005.0,Canarsie                                                                   
98,P.S. 102 Jacques Cartier,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10010.0,40.736094,-73.980663,6.0,2.0,64.0,1081671.0,1009260001.0,Gramercy                                                                   
99,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11208.0,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
100,P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10024.0,40.785287,-73.97343,7.0,6.0,169.0,1032119.0,1012140029.0,Upper West Side                                                            
101,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10065.0,40.763736,-73.95815,8.0,5.0,116.0,1045569.0,1014610007.0,Lenox Hill-Roosevelt Island                                                
102,J.H.S. 292 Margaret S. Douglas | The Uft Charter School | 301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11207.0,40.671987,-73.893896,5.0,42.0,1144.0,3083931.0,3037400001.0,East New York (Pennsylvania Ave)                                           
103,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10030.0,40.821535,-73.940941,10.0,9.0,232.0,1060432.0,1020290011.0,Central Harlem North-Polo Grounds                                          
104,P.S. M169 - Robert F. Kennedy,2.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10029.0,40.792122,-73.951961,11.0,8.0,168.0,1051497.0,1016090007.0,East Harlem South                                                          
