,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
777,The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10009.0,40.724117,-73.986381,3.0,2.0,32.0,1005760.0,1004310014.0,East Village                                                               
778,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10032.0,40.839305,-73.936159,12.0,10.0,249.0,1076741.0,1021120058.0,Washington Heights South                                                   
779,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11221.0,40.70069,-73.927481,4.0,34.0,423.0,3072497.0,3031850001.0,Bushwick South                                                             
780,Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION ,,,2C,1-250,,,,,,11216.0,40.685004,-73.947152,3.0,36.0,249.0,3051641.0,3018230038.0,Bedford                                                                    
781,P.S. 205 Clarion,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11229.0,40.597369,-73.948946,15.0,48.0,59401.0,3201080.0,3073810201.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
782,P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11221.0,40.694018,-73.915263,4.0,37.0,415.0,3076784.0,3033600001.0,Bushwick South                                                             
783,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11211.0,40.715351,-73.956716,1.0,34.0,519.0,3062337.0,3023450001.0,North Side-South Side                                                      
784,J.H.S. 278 Marine Park,0.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11236.0,40.644203,-73.892264,18.0,46.0,986.0,3326733.0,3082300001.0,Canarsie                                                                   
785,P.S. 060 Woodhaven | 91-02 88th Avenue,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11417.0,40.67641,-73.846773,10.0,32.0,54.0,4190727.0,4091550025.0,Ozone Park                                                                 
786,The Urban Assembly School for Global Commerce|  Harlem Children's Zone Promise Academy II Charter|   2005 MADISON AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10025.0,40.797559,-73.966837,7.0,7.0,189.0,1055911.0,1018550009.0,Upper West Side                                                            
787,ACORN Community High School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11221.0,40.694507,-73.929107,4.0,34.0,393.0,3073462.0,3032300027.0,Bushwick South                                                             
788,IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION,,,3C,251-500,,,,,,11204.0,40.60754,-73.984661,11.0,44.0,430.0,3174076.0,3065950033.0,Bensonhurst East                                                           
