,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
441,2016 - 17,240 EAST 109 STREET CONSOLIDATED LOCATION,M117,M,4,586.0,240 EAST 109 STREET CONSOLIDATED LOCATION,2,597.0,PS 112M,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  240 EAST 109 STREET CONSOLIDATED LOCATION,,,
442,2016 - 17,The Children's Workshop School,M361,M,1,315.0,610 EAST  12 STREET CONSOLIDATED LOCATION,2,663.0,JHS 056M,The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION,,,
443,2016 - 17,P.S. 015 Roberto Clemente,M015,M,1,1443.0,1573 MADISON AVENUE CONSOLIDATED LOCATION,4,575.0,PS 009M,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,0.0,1.0,1.0
444,2016 - 17,High School for Service & Learning at Erasmus,K539,K,17,432.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184.0,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,
445,2016 - 17,High School for Media and Communications,M463,M,6,2614.0,40 IRVING PLACE CONSOLIDATED LOCATION,7,706.0,SEWARD PARK HS,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,4.0,10.0,14.0
446,2016 - 17,241 EMERSON PLACE CONSOLIDATED LOCATION,K270,K,13,134.0,241 EMERSON PLACE CONSOLIDATED LOCATION,2,1433.0,PS 264 Bay Ridge Elementary School for the Arts,P.S. 270 Johann DeKalb | Community Partnership Charter School | 241 EMERSON PLACE CONSOLIDATED LOCATION,,,
447,2016 - 17,Highland Park Community School,K760,K,19,756.0,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,241.0,PS 169K,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,0.0,3.0,2.0
448,2016 - 17,P.S. K721 - Brooklyn Occupational Training Center,K721,K,21,926.0,,1,17.0,HARRY VAN ARSDALE HS,Brooklyn Studio Secondary School,0.0,0.0,3.0
449,2016 - 17,Clara Barton High School,K600,K,17,1252.0,,1,1398.0,Sunset Park HS,Medgar Evers College Preparatory School,0.0,6.0,4.0
450,2016 - 17,Richard R. Green High School of Teaching,M580,M,2,850.0,55 BATTERY PLACE CONSOLIDATED LOCATION,2,547.0,IS 223/PS 223 MOTT HALL,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,0.0,2.0,2.0
451,2016 - 17,School for Legal Studies,K477,K,14,886.0,850 GRAND STREET CONSOLIDATED LOCATION,3,197.0,PROSPECT HEIGHTS HS,"PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION",,,
452,2016 - 17,The Urban Assembly School for Law and Justice,K483,K,13,835.0,,1,125.0,PS 308K,P.S. 312 Bergen Beach,0.0,0.0,0.0
453,2016 - 17,P.S. 094 The Henry Longfellow,K094,K,15,1437.0,,1,82.0,PS 093K,P.S. 094 The Henry Longfellow,0.0,1.0,3.0
454,2016 - 17,P.S. 270 Johann DeKalb,K270,K,13,324.0,,1,42.0,MS 323K,P.S. 269 Nostrand,0.0,0.0,1.0
455,2016 - 17,P.S. 124 Yung Wing,M124,M,2,518.0,,2,556.0,JHS 118M,P.S. 123 Mahalia Jackson I Success Academy Charter School Harlem 5,0.0,3.0,9.0
456,2016 - 17,Evergreen Middle School for Urban Exploration,K562,K,32,1222.0,284 BALTIC STREET CONSOLIDATED LOCATION,3,26.0,IS 291K,Success Academy C harter School- Cobble Hill | Digital Arts and Cinema Technology High School |Boerum Hill School for International Studies |284 BALTIC STREET CONSOLIDATED LOCATION,0.0,4.0,4.0
457,2016 - 17,Brooklyn College Academy,K555,K,15,896.0,,1,211.0,PS 077K,Benjamin Banneker Academy,0.0,2.0,2.0
458,2016 - 17,Invictus Preparatory Charter School,K386,K,19,969.0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108.0,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",5.0,6.0,6.0
459,2016 - 17,Satellite East Middle School,K301,K,13,317.0,280 HART STREET CONSOLIDATED LOCATION,1,28.0,IS 302K,Brighter Choice Community School |  280 HART STREET CONSOLIDATED LOCATION,0.0,1.0,1.0
460,2016 - 17,P.S. 139 Alexine A. Fenty,K139,K,22,583.0,,1,90.0,PS 137K,P.S. 138 Brooklyn,0.0,0.0,1.0
461,2016 - 17,1599 EAST  22 STREET CONSOLIDATED LOCATION,K197,K,22,640.0,1599 EAST  22 STREET CONSOLIDATED LOCATION,2,254.0,PS 195K,P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION,,,
462,2016 - 17,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,K391,K,17,250.0,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,1188.0,PS 384K,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,,,
463,2016 - 17,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL (BS),K746,K,22,401.0,,1,2.0,ACORN HS FOR SOCIAL JUSTICE,NEW HOPE ACADEMY CHARTER SCHOOL(BS),0.0,0.0,0.0
464,2016 - 17,I.S. 528 Bea Fuller Rodgers School,M528,M,6,290.0,411 PEARL STREET CONSOLIDATED LOCATION,4,534.0,CHOIR ACADEMY,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,,,
465,2016 - 17,"Urban Assembly Academy of Government and Law, The",M305,M,2,225.0,351 WEST  18 STREET CONSOLIDATED LOCATION,6,,,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,
