,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
0,2016 - 17,P.S. M079 - Horan School,M079,M,5,508.0,,1,657.0,IS 070M,P.S. 076 A. Philip Randolph,0.0,2.0,2.0
1,2016 - 17,P.S./I.S. 210 - Twenty-first Century Academy for C,M210,M,6,277.0,,2,701.0,PS/IS 089M,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,1.0,3.0,2.0
2,2016 - 17,888 REV J A POLITE AVE CONSOLIDATED LOCATION,X060,X,8,248.0,2111 CROTONA AVENUE CONSOLIDATED LOCATION,2,370.0,PS 047X,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,
3,2016 - 17,P.S. 333 - The Museum School,X333,X,8,502.0,,1,372.0,PS 050X,P.S. 058,0.0,2.0,3.0
4,2016 - 17,The Academy of the Arts,X335,X,8,604.0,,1,372.0,PS 050X,P.S. 059 The Community School of Technology,1.0,0.0,0.0
5,2016 - 17,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,X099,X,12,210.0,1619 BOSTON ROAD CONSOLIDATED LOCATION,3,428.0,CS 090X,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,,,
6,2016 - 17,P.S. 160 Walt Disney,X160,X,11,296.0,800 HOME STREET CONSOLIDATED LOCATION,3,404.0,PS 152X,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,,,
7,2016 - 17,ROADS Charter School II,X200,X,12,387.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,
8,2016 - 17,Arturo A. Schomburg Satellite Academy Bronx,X446,X,12,288.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,
9,2016 - 17,Bronx Regional High School,X480,X,12,1463.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,2.0,4.0,30.0
10,2016 - 17,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,X401,X,12,240.0,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,3,1382.0,Academy for Scholarship & Entrepreneurship:A College Board School,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,,,
11,2016 - 17,Thurgood Marshall Academy Lower School,M318,M,5,389.0,,1,,,P.S. 051 Elias Howe,0.0,1.0,0.0
12,2016 - 17,P.S. 083 Luis Munoz Rivera,M083,M,4,263.0,,1,585.0,PS 072M,P.S. M079 - Horan School,0.0,1.0,0.0
13,2016 - 17,Dr. Susan S. McKinney Secondary School of the Arts,K265,K,13,500.0,,1,1031.0,PS 262K,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,0.0,0.0,1.0
14,2016 - 17,P.S. 048 Mapleton,K048,K,20,590.0,,1,70.0,PS 046K,P.S. 048 Mapleton,0.0,0.0,0.0
15,2016 - 17,P.S. 208 Alain L. Locke,M208,M,3,479.0,508 EAST 120 STREET CONSOLIDATED LOCATION,2,632.0,PS 198M,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,,,
16,2016 - 17,SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS),K781,K,22,346.0,1420 East 68 Street CONSOLIDATED LOCATION,2,78.0,PS 075K,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,,,
17,2016 - 17,The Urban Assembly School for Emergency Management,M135,M,2,212.0,198 FORSYTH STREET CONSOLIDATED LOCATION,2,534.0,CHOIR ACADEMY,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,
18,2016 - 17,P.S. 372 -The Children's School,K372,K,15,201.0,,1,1043.0,METROPOLITAN CORP. ACADEMY,South Brooklyn Community High School,1.0,2.0,1.0
19,2016 - 17,185 1 AVENUE CONSOLIDATED LOCATION,M019,M,1,127.0,185 1 AVENUE CONSOLIDATED LOCATION,2,549.0,JHS 013M,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",,,
20,2016 - 17,223 EAST 23 STREET CONSOLIDATED LOCATION,M047,M,2,195.0,223 EAST 23 STREET CONSOLIDATED LOCATION,2,550.0,JHS 044M,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,,,
21,2016 - 17,284 BALTIC STREET CONSOLIDATED LOCATION,K293,K,15,563.0,284 BALTIC STREET CONSOLIDATED LOCATION,3,26.0,IS 291K,Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION,,,
22,2016 - 17,N.Y.C. Lab School for Collaborative Studies,M412,M,2,541.0,333 WEST  17 STREET CONSOLIDATED LOCATION,3,689.0,PS 064M,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,,,
23,2016 - 17,Academy for Health Careers,K751,K,17,573.0,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,3.0,AUTOMOTIVE HS,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,,,
24,2016 - 17,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,K465,K,17,559.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184.0,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,
25,2016 - 17,Eagle Academy for Young Men of Harlem,M148,M,5,354.0,293 EAST BROADWAY CONSOLIDATED LOCATION,1,658.0,IS 131M,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,0.0,0.0,3.0
26,2016 - 17,Middle School for Art and Philosophy,K588,K,18,191.0,1084 LENOX ROAD CONSOLIDATED LOCATION,2,280.0,PS 247K,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,2.0,1.0,1.0
27,2016 - 17,Lower East Side Preparatory High School,M515,M,1,204.0,145 STANTON STREET CONSOLIDATED LOCATION,3,661.0,JHS 025M - MARTA VALLE,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,,,
28,2016 - 17,600 EAST  6 STREET CONSOLIDATED LOCATION,M064,M,1,374.0,600 EAST  6 STREET CONSOLIDATED LOCATION,3,687.0,PS 061M,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,,,
29,2016 - 17,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,K025,K,16,228.0,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,202.0,PS 024K,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0.0,0.0,6.0
30,2016 - 17,J.H.S. 088 Peter Rouget,K088,K,15,1308.0,544 7TH AVENUE CONSOLIDATED LOCATION,2,81.0,PS 086K,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,
31,2016 - 17,330 ALABAMA AVENUE CONSOLIDATED LOCATION,K328,K,19,404.0,330 ALABAMA AVENUE CONSOLIDATED LOCATION,2,950.0,JHS 143K,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,,,
32,2016 - 17,P.S. 052 Sheepshead Bay,K052,K,22,850.0,,1,155.0,IS 051K,P.S. 052 Sheepshead Bay,0.0,0.0,1.0
33,2016 - 17,Washington Heights Academy,M366,M,6,1117.0,4600 BROADWAY CONSOLIDATED LOCATION,3,1065.0,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,2.0,1.0,1.0
34,2016 - 17,210 CHESTER STREET CONSOLIDATED LOCATION,K263,K,23,495.0,210 CHESTER STREET CONSOLIDATED LOCATION,2,170.0,IS 259K,P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION,,,
35,2016 - 17,650 ACADEMY STREET CONSOLIDATED LOCATION,M052,M,6,221.0,650 ACADEMY STREET CONSOLIDATED LOCATION,3,662.0,JHS 047M SCHOOL FOR THE DEAF,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,
36,2016 - 17,Art and Design High School,M630,M,2,2697.0,,1,1063.0,JULIA RICHMAN ED. COMPLEX,Fiorello H. LaGuardia High School of Music & Art a,0.0,3.0,5.0
37,2016 - 17,"Science Skills Center High School for Science, Tec",K419,K,13,268.0,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232.0,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",,,
38,2016 - 17,P.S. 044 Marcus Garvey,K044,K,13,205.0,,1,161.0,IS 098K,P.S. 044 Marcus Garvey,0.0,3.0,3.0
39,2016 - 17,M.S. 582,K582,K,14,618.0,207 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,251.0,PS 192K,P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION,1.0,0.0,2.0
40,2016 - 17,J.H.S. 227 Edward B. Shallow,K227,K,20,1022.0,1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,1,1144.0,PS 224K,P.S. 226 Alfred De B.Mason,0.0,0.0,2.0
41,2016 - 17,P.S. 289 George V. Brower,K289,K,17,681.0,,1,119.0,PS 284K,P.S. 288 The Shirley Tanyhill,0.0,1.0,2.0
42,2016 - 17,El Puente Academy for Peace and Justice,K685,K,14,285.0,,1,142.0,WILLIAM MAXWELL HS,The Maurice Sendak Community School,0.0,0.0,0.0
43,2016 - 17,High School of Arts and Technology,M494,M,3,442.0,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,537.0,FIORELLO LAGUARDIA HS,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",,,
44,2016 - 17,Satellite West Middle School,K313,K,13,383.0,209 YORK STREET CONSOLIDATED LOCATION,2,123.0,PS 304K,P.S. 307 Daniel Hale Williams |  Satellite West Middle School |  209 YORK STREET CONSOLIDATED LOCATION,,,
45,2016 - 17,P.S. K053,K053,K,15,469.0,544 7TH AVENUE CONSOLIDATED LOCATION,2,81.0,PS 086K,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,
46,2016 - 17,4600 BROADWAY CONSOLIDATED LOCATION,M218,M,6,198.0,4600 BROADWAY CONSOLIDATED LOCATION,3,1065.0,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,,,
47,2016 - 17,"High School for Law, Advocacy and Community Justic",M492,M,3,2410.0,231-249 EAST 56 STREET CONSOLIDATED LOCATION,2,1063.0,JULIA RICHMAN ED. COMPLEX,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,0.0,2.0,4.0
48,2016 - 17,PS/IS 30 Mary White Ovington,K030,K,20,443.0,,1,950.0,JHS 143K,P.S. 329 Surfside,0.0,0.0,0.0
49,2016 - 17,Hamilton Grange Middle School,M209,M,6,592.0,,1,624.0,PS 183M,P.S. 290 Manhattan New School,0.0,0.0,0.0
50,2016 - 17,Wadleigh Secondary School for the Performing & Vis,M415,M,3,877.0,,1,588.0,PS 083M,P.S. 087 William Sherman,0.0,1.0,0.0
51,2016 - 17,Academy of Hospitality and Tourism,K408,K,17,412.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184.0,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,
52,2016 - 17,P.S. 333 Manhattan School for Children,M333,M,3,223.0,154 WEST  93 STREET CONSOLIDATED LOCATION,3,692.0,PS 116M,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,,,
53,2016 - 17,M.S. 131,M131,M,2,962.0,,1,694.0,PS 126M,P.S. 130 Hernando De Soto,1.0,1.0,1.0
54,2016 - 17,P.S. 308 Clara Cardwell,K308,K,13,383.0,209 YORK STREET CONSOLIDATED LOCATION,1,123.0,PS 304K,P.S. 307 Daniel Hale Williams| 209 YORK STREET CONSOLIDATED LOCATION,0.0,0.0,2.0
55,2016 - 17,P.S. 380 John Wayne Elementary,K380,K,14,678.0,200 WOODBINE STREET CONSOLIDATED LOCATION,2,195.0,P 370K,P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION,0.0,0.0,0.0
56,2016 - 17,P.S. 003 Charrette School,M003,M,2,603.0,,1,,,P.S. 002 Meyer London,0.0,0.0,0.0
57,2016 - 17,P.S. 019 Asher Levy,M019,M,1,919.0,328 WEST  48 STREET CONSOLIDATED LOCATION,2,549.0,JHS 013M,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,1.0,0.0,1.0
58,2016 - 17,Mott Hall High School,M304,M,5,145.0,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,603.0,PS 132M,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,,,
59,2016 - 17,P.S. 158 Bayard Taylor,M158,M,2,436.0,319 EAST 117 STREET CONSOLIDATED LOCATION,2,609.0,PS 152M,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,1.0,3.0,0.0
60,2016 - 17,P.S. 086 The Irvington,K086,K,32,388.0,,1,46.0,P753K -SCHOOL FOR CAREER DEV.,P.S. 086 The Irvington,0.0,1.0,0.0
61,2016 - 17,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,K218,K,19,392.0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108.0,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",,,
62,2016 - 17,Academy for College Preparation and Career Explora,K382,K,17,1919.0,237 7 AVENUE CONSOLIDATED LOCATION,4,138.0,STREET ACADEMY,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,3.0,14.0,22.0
63,2016 - 17,P.S. 140 Nathan Straus,M140,M,1,672.0,,1,533.0,Percy E. Sutton Educ. Complex/Formerly BREAD & ROSES HS,P.S. 184m Shuang Wen,0.0,2.0,0.0
64,2016 - 17,P.S. 146,K146,K,15,975.0,,1,91.0,PS 138K,P.S. 139 Alexine A. Fenty,0.0,0.0,1.0
65,2016 - 17,SUCCESS ACADEMY HIGH SCHOOL OF THE LIBERAL ARTS(MS),M351,M,2,449.0,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,2,674.0,PARK WEST HS,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,,,
66,2016 - 17,Humanities Preparatory Academy,M605,M,2,380.0,351 WEST  18 STREET CONSOLIDATED LOCATION,6,,,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,
67,2016 - 17,P.S. 059 William Floyd,K059,K,14,318.0,211 THROOP AVENUE CONSOLIDATED LOCATION,2,209.0,PS 058K,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,,,
68,2016 - 17,62 PARK PLACE CONSOLIDATED LOCATION,K902,K,13,166.0,62 PARK PLACE CONSOLIDATED LOCATION,2,298.0,PS 361K,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,,,
69,2016 - 17,P.S. 035,M035,M,2,833.0,,1,663.0,JHS 056M,James Weldon Johnson,0.0,1.0,3.0
70,2016 - 17,P.S. 198 Brooklyn,K198,K,22,290.0,1599 EAST  22 STREET CONSOLIDATED LOCATION,2,254.0,PS 195K,P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION,,,
71,2016 - 17,Forsyth Satellite Academy,M458,M,1,998.0,2005 MADISON AVENUE CONSOLIDATED LOCATION,2,564.0,MARTIN LUTHER KING JR. HS (Complex),The Urban Assembly School for Global Commerce|  Harlem Children's Zone Promise Academy II Charter|   2005 MADISON AVENUE CONSOLIDATED LOCATION,,,
72,2016 - 17,P.S. 124 Silas B. Dutcher,K124,K,15,672.0,,1,226.0,PS 121K,P.S. 123 Suydam,0.0,0.0,0.0
73,2016 - 17,Landmark High School,M419,M,2,1801.0,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,677.0,PS 003M,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,2.0,5.0,3.0
74,2016 - 17,P.S. 326,K326,K,22,562.0,,1,300.0,PS 372K,P.S. K134,0.0,0.0,0.0
75,2016 - 17,P.S. 020 Anna Silver,M020,M,1,398.0,185 1 AVENUE CONSOLIDATED LOCATION,2,549.0,JHS 013M,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",0.0,2.0,5.0
76,2016 - 17,TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL(BN),K406,K,16,332.0,616 QUINCY STREET CONSOLIDATED LOCATION,2,1048.0,PS 305K,P.S. 308 Clara Cardwell|  Teaching Firms of America-Professional Preparatory|  616 QUINCY STREET CONSOLIDATED LOCATION,,,
77,2016 - 17,P.S. 224 Hale A. Woodruff,K224,K,19,558.0,4200 16 AVENUE CONSOLIDATED LOCATION,2,267.0,PS 219K MAIN,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,,,
78,2016 - 17,P.S. 050 Vito Marcantonio,M050,M,4,579.0,,1,551.0,MS 45-STARS Prep Academy,P.S. 048 P.O. Michael J. Buczek,1.0,0.0,0.0
79,2016 - 17,P.S./I.S. 323,K323,K,23,381.0,,1,1332.0,Excellence Charter School of Bedford Stuyvesant,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,1.0,2.0,1.0
80,2016 - 17,Middle School of Marketing and Legal Studies,K598,K,18,184.0,905 WINTHROP STREET CONSOLIDATED LOCATION,3,166.0,IS 227K,East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION,,,
81,2016 - 17,High School for Excellence and Innovation,M423,M,6,285.0,650 ACADEMY STREET CONSOLIDATED LOCATION,3,662.0,JHS 047M SCHOOL FOR THE DEAF,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,
82,2016 - 17,Green School: An Academy for Environmental Careers,K454,K,14,244.0,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,207.0,PS 048K,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",,,
83,2016 - 17,PS 503: The School of Discovery,K503,K,20,1084.0,283 ADAMS STREET CONSOLIDATED LOCATION,2,126.0,PS 309K,The Urban Assembly School for Law and Justice |  Urban Assembly Institute of Math and Science for Y |  283 ADAMS STREET CONSOLIDATED LOCATION,1.0,6.0,9.0
84,2016 - 17,New Voices School of Academic & Creative Arts,K443,K,15,466.0,330 18 STREET CONSOLIDATED LOCATION,2,317.0,SOUTH BROOKLYN COMMUNITY HS,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,,,
85,2016 - 17,P.S. /I.S. 384 Frances E. Carter,K384,K,32,1979.0,1300 GREENE AVENUE CONSOLIDATED LOCATION,2,133.0,PS 376K,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,0.0,6.0,1.0
86,2016 - 17,226 BRISTOL STREET CONSOLIDATED LOCATION,K175,K,23,144.0,574 DUMONT AVENUE CONSOLIDATED LOCATION,2,23.0,IS 171K, Brooklyn Gardens Elementary School |  School of the Future Brooklyn |  574 DUMONT AVENUE CONSOLIDATED LOCATION,,,
87,2016 - 17,201 WARREN STREET CONSOLIDATED LOCATION,M089,M,2,281.0,201 WARREN STREET CONSOLIDATED LOCATION,2,589.0,PS 084M,P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION,,,
88,2016 - 17,P.S. 295,K295,K,15,331.0,,1,1067.0,W. E. B. DU BIOS ACADEMIC HS,P.S. K004,0.0,0.0,0.0
89,2016 - 17,Millennium Brooklyn HS,K684,K,15,608.0,237 7 AVENUE CONSOLIDATED LOCATION,4,138.0,STREET ACADEMY,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,,,
90,2016 - 17,Brooklyn High School for Leadership and Community,K616,K,13,203.0,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,86.0,PS 116K,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",,,
91,2016 - 17,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,M427,M,2,437.0,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,2,674.0,PARK WEST HS,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,,,
92,2016 - 17,Dr. Jacqueline Peek-Davis School,K012,K,23,241.0,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,54.0,PS 012K,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,,,
93,2016 - 17,293 EAST BROADWAY CONSOLIDATED LOCATION,M134,M,1,218.0,,1,658.0,IS 131M,P.S. 133 Fred R Moore,0.0,0.0,1.0
94,2016 - 17,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL(BN),K780,K,13,346.0,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,52.0,PS 009K,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,,
95,2016 - 17,Frederick Douglass Academy IV Secondary School,K393,K,16,69.0,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,60.0,PS 025K,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,
96,2016 - 17,Gramercy Arts High School,M374,M,2,392.0,,1,706.0,SEWARD PARK HS,University Neighborhood High School,0.0,2.0,2.0
97,2016 - 17,Brooklyn Theatre Arts High School,K567,K,18,227.0,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,145.0,CANARSIE HS,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,,,
98,2016 - 17,J.H.S. 104 Simon Baruch,M104,M,2,313.0,,1,554.0,JHS 099M,P.S. 102 Jacques Cartier,0.0,1.0,7.0
99,2016 - 17,"The School for Classics: An Academy of Thinkers, W",K683,K,19,264.0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108.0,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",,,
100,2016 - 17,100 WEST  84 STREET CONSOLIDATED LOCATION,M009,M,3,234.0,100 WEST  84 STREET CONSOLIDATED LOCATION,2,572.0,PS 006M,P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION,,,
101,2016 - 17,P.S. 183 Robert L. Stevenson,M183,M,2,704.0,4862 BROADWAY CONSOLIDATED LOCATION,2,619.0,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0.0,0.0,0.0
102,2016 - 17,301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,K292,K,19,316.0,301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,2,26.0,IS 291K,J.H.S. 292 Margaret S. Douglas | The Uft Charter School | 301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,,,
103,2016 - 17,P.S. 194 Countee Cullen,M194,M,5,281.0,500 WEST 138 STREET CONSOLIDATED LOCATION,3,626.0,PS 187M,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION,,,
104,2016 - 17,19 EAST 103 STREET CONSOLIDATED LOCATION,M171,M,4,387.0,,1,617.0,PS 165M,P.S. M169 - Robert F. Kennedy,1.0,3.0,3.0
105,2016 - 17,Castle Bridge School,M513,M,6,622.0,560 WEST 169 STREET CONSOLIDATED LOCATION,2,1310.0,KIPP STAR COLLEGE PREP CHARTER SCHOOL,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,,,
