,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,2016 - 17,P.S. M079 - Horan School,M079,M,5,508.0,,1,657.0,IS 070M,P.S. 076 A. Philip Randolph,0.0,2.0,2.0,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10035.0,40.802419,-73.942634,11.0,9.0,198.0,1053968.0,1017470001.0,East Harlem North                                                          
1,2016 - 17,P.S./I.S. 210 - Twenty-first Century Academy for C,M210,M,6,277.0,,2,701.0,PS/IS 089M,P.S. 092 Mary McLeod Bethune I St. Hope Leadership Academy Charter ,1.0,3.0,2.0,1.0,3.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10031.0,40.829832,-73.944789,9.0,7.0,237.0,1087824.0,1020840129.0,Hamilton Heights                                                           
2,2016 - 17,888 REV J A POLITE AVE CONSOLIDATED LOCATION,X060,X,8,248.0,2111 CROTONA AVENUE CONSOLIDATED LOCATION,2,370.0,PS 047X,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
3,2016 - 17,P.S. 333 - The Museum School,X333,X,8,502.0,,1,372.0,PS 050X,P.S. 058,0.0,2.0,3.0,2.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
4,2016 - 17,The Academy of the Arts,X335,X,8,604.0,,1,372.0,PS 050X,P.S. 059 The Community School of Technology,1.0,0.0,0.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.820403,-73.898912,2.0,17.0,87.0,2005348.0,2026960085.0,Longwood                                                                   
5,2016 - 17,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,X099,X,12,210.0,1619 BOSTON ROAD CONSOLIDATED LOCATION,3,428.0,CS 090X,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10459.0,40.827315,-73.897612,2.0,17.0,131.0,2005276.0,2026920014.0,Longwood                                                                   
6,2016 - 17,P.S. 160 Walt Disney,X160,X,11,296.0,800 HOME STREET CONSOLIDATED LOCATION,3,404.0,PS 152X,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10475.0,40.864676,-73.824303,10.0,12.0,302.0,2072352.0,2051350200.0,Co-op City                                                                 
7,2016 - 17,ROADS Charter School II,X200,X,12,387.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
8,2016 - 17,Arturo A. Schomburg Satellite Academy Bronx,X446,X,12,288.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
9,2016 - 17,Bronx Regional High School,X480,X,12,1463.0,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,524.0,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,2.0,4.0,30.0,1.0,5.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
10,2016 - 17,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,X401,X,12,240.0,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,3,1382.0,Academy for Scholarship & Entrepreneurship:A College Board School,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   
11,2016 - 17,Thurgood Marshall Academy Lower School,M318,M,5,389.0,,1,,,P.S. 051 Elias Howe,0.0,1.0,0.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10039.0,40.826126,-73.937982,10.0,9.0,236.0,1060596.0,1020360047.0,Central Harlem North-Polo Grounds                                          
12,2016 - 17,P.S. 083 Luis Munoz Rivera,M083,M,4,263.0,,1,585.0,PS 072M,P.S. M079 - Horan School,0.0,1.0,0.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10029.0,40.793194,-73.942548,11.0,8.0,180.0,1052436.0,1016590012.0,East Harlem North                                                          
13,2016 - 17,Dr. Susan S. McKinney Secondary School of the Arts,K265,K,13,500.0,,1,1031.0,PS 262K,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,0.0,0.0,1.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11205.0,40.696324,-73.97578,2.0,35.0,211.0,3057942.0,3020280001.0,Fort Greene                                                                
14,2016 - 17,P.S. 048 Mapleton,K048,K,20,590.0,,1,70.0,PS 046K,P.S. 048 Mapleton,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11204.0,40.621871,-73.987396,12.0,44.0,244.0,3132140.0,3055190001.0,Borough Park                                                               
15,2016 - 17,P.S. 208 Alain L. Locke,M208,M,3,479.0,508 EAST 120 STREET CONSOLIDATED LOCATION,2,632.0,PS 198M,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10026.0,40.797874,-73.949699,10.0,9.0,186.0,1051410.0,1015950015.0,Central Harlem South                                                       
16,2016 - 17,SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS),K781,K,22,346.0,1420 East 68 Street CONSOLIDATED LOCATION,2,78.0,PS 075K,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11234.0,40.621224,-73.91287,18.0,46.0,69602.0,3236496.0,3083880002.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
17,2016 - 17,The Urban Assembly School for Emergency Management,M135,M,2,212.0,198 FORSYTH STREET CONSOLIDATED LOCATION,2,534.0,CHOIR ACADEMY,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10038.0,40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
18,2016 - 17,P.S. 372 -The Children's School,K372,K,15,201.0,,1,1043.0,METROPOLITAN CORP. ACADEMY,South Brooklyn Community High School,1.0,2.0,1.0,2.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11215.0,40.676668,-73.985258,6.0,39.0,119.0,3007707.0,3004550001.0,Park Slope-Gowanus                                                         
19,2016 - 17,185 1 AVENUE CONSOLIDATED LOCATION,M019,M,1,127.0,185 1 AVENUE CONSOLIDATED LOCATION,2,549.0,JHS 013M,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",,,,,,2C,1-250,,,,,,10003.0,40.729636,-73.983818,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
20,2016 - 17,223 EAST 23 STREET CONSOLIDATED LOCATION,M047,M,2,195.0,223 EAST 23 STREET CONSOLIDATED LOCATION,2,550.0,JHS 044M,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10010.0,40.738548,-73.982455,6.0,2.0,64.0,,,Gramercy                                                                   
21,2016 - 17,284 BALTIC STREET CONSOLIDATED LOCATION,K293,K,15,563.0,284 BALTIC STREET CONSOLIDATED LOCATION,3,26.0,IS 291K,Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11201.0,40.685419,-73.993351,6.0,33.0,69.0,3006401.0,3004020001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
22,2016 - 17,N.Y.C. Lab School for Collaborative Studies,M412,M,2,541.0,333 WEST  17 STREET CONSOLIDATED LOCATION,3,689.0,PS 064M,New York City Lab Middle School for Collaborative |  N.Y.C. Lab School for Collaborative Studies |  N.Y.C. Museum School |  333 WEST  17 STREET CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,10011.0,40.742129,-74.002198,4.0,3.0,83.0,1079152.0,1007410010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
23,2016 - 17,Academy for Health Careers,K751,K,17,573.0,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,3.0,AUTOMOTIVE HS,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11213.0,40.675612,-73.938843,8.0,36.0,311.0,3030553.0,3012160046.0,Crown Heights North                                                        
24,2016 - 17,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,K465,K,17,559.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184.0,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,,,,4C,501-750,,,,,,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
25,2016 - 17,Eagle Academy for Young Men of Harlem,M148,M,5,354.0,293 EAST BROADWAY CONSOLIDATED LOCATION,1,658.0,IS 131M,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,0.0,0.0,3.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10030.0,40.817372,-73.947712,10.0,9.0,22102.0,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          
26,2016 - 17,Middle School for Art and Philosophy,K588,K,18,191.0,1084 LENOX ROAD CONSOLIDATED LOCATION,2,280.0,PS 247K,Middle School for Art and Philosophy|  KINGS COLLEGIATE CHARTER SCHOOL(BS)|  1084 LENOX ROAD CONSOLIDATED LOCATION,2.0,1.0,1.0,3.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11212.0,40.658295,-73.920109,17.0,41.0,886.0,3101840.0,3046690037.0,Rugby-Remsen Village                                                       
27,2016 - 17,Lower East Side Preparatory High School,M515,M,1,204.0,145 STANTON STREET CONSOLIDATED LOCATION,3,661.0,JHS 025M - MARTA VALLE,Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10002.0,40.720581,-73.985645,3.0,1.0,3001.0,1004323.0,1003540080.0,Chinatown                                                                  
28,2016 - 17,600 EAST  6 STREET CONSOLIDATED LOCATION,M064,M,1,374.0,600 EAST  6 STREET CONSOLIDATED LOCATION,3,687.0,PS 061M,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10009.0,40.72438,-73.98138,3.0,2.0,2601.0,1004627.0,1003870001.0,Lower East Side                                                            
29,2016 - 17,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,K025,K,16,228.0,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,202.0,PS 024K,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0.0,0.0,6.0,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11221.0,40.691037,-73.941342,3.0,36.0,281.0,3049858.0,3017870014.0,Stuyvesant Heights                                                         
30,2016 - 17,J.H.S. 088 Peter Rouget,K088,K,15,1308.0,544 7TH AVENUE CONSOLIDATED LOCATION,2,81.0,PS 086K,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,,,,7C,1251-1500,,,,,,11215.0,40.660024,-73.987637,7.0,38.0,147.0,3331276.0,3008800001.0,Sunset Park West                                                           
31,2016 - 17,330 ALABAMA AVENUE CONSOLIDATED LOCATION,K328,K,19,404.0,330 ALABAMA AVENUE CONSOLIDATED LOCATION,2,950.0,JHS 143K,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11207.0,40.668167,-73.897835,5.0,42.0,1134.0,3084283.0,3037680001.0,East New York (Pennsylvania Ave)                                           
32,2016 - 17,P.S. 052 Sheepshead Bay,K052,K,22,850.0,,1,155.0,IS 051K,P.S. 052 Sheepshead Bay,0.0,0.0,1.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11235.0,40.58792,-73.940532,15.0,48.0,600.0,3205435.0,3074740001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
33,2016 - 17,Washington Heights Academy,M366,M,6,1117.0,4600 BROADWAY CONSOLIDATED LOCATION,3,1065.0,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,2.0,1.0,1.0,3.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10034.0,40.8654,-73.921101,12.0,10.0,293.0,1081910.0,1022260041.0,Marble Hill-Inwood                                                         
34,2016 - 17,210 CHESTER STREET CONSOLIDATED LOCATION,K263,K,23,495.0,210 CHESTER STREET CONSOLIDATED LOCATION,2,170.0,IS 259K,P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11212.0,40.666545,-73.910904,16.0,41.0,924.0,3081442.0,3035420001.0,Brownsville                                                                
35,2016 - 17,650 ACADEMY STREET CONSOLIDATED LOCATION,M052,M,6,221.0,650 ACADEMY STREET CONSOLIDATED LOCATION,3,662.0,JHS 047M SCHOOL FOR THE DEAF,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10034.0,40.866053,-73.924835,12.0,10.0,291.0,1076776.0,1022330020.0,Marble Hill-Inwood                                                         
36,2016 - 17,Art and Design High School,M630,M,2,2697.0,,1,1063.0,JULIA RICHMAN ED. COMPLEX,Fiorello H. LaGuardia High School of Music & Art a,0.0,3.0,5.0,3.0,0.0,11C,2501-3000,3.14,13.0,34.86,8.29,5.29,10022.0,40.75924,-73.967203,6.0,4.0,108.0,1088892.0,1013300013.0,Turtle Bay-East Midtown                                                    
37,2016 - 17,"Science Skills Center High School for Science, Tec",K419,K,13,268.0,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232.0,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,11201.0,40.697339,-73.985016,2.0,33.0,15.0,3000216.0,3001200020.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
38,2016 - 17,P.S. 044 Marcus Garvey,K044,K,13,205.0,,1,161.0,IS 098K,P.S. 044 Marcus Garvey,0.0,3.0,3.0,2.0,1.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11221.0,40.686592,-73.940747,3.0,36.0,277.0,3051540.0,3018210001.0,Stuyvesant Heights                                                         
39,2016 - 17,M.S. 582,K582,K,14,618.0,207 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,251.0,PS 192K,P.S. 196 Ten Eyck |  M.S. 582 |  207 BUSHWICK AVENUE CONSOLIDATED LOCATION,1.0,0.0,2.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.708723,-73.940002,1.0,34.0,485.0,3071024.0,3030460001.0,Bushwick South                                                             
40,2016 - 17,J.H.S. 227 Edward B. Shallow,K227,K,20,1022.0,1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,1,1144.0,PS 224K,P.S. 226 Alfred De B.Mason,0.0,0.0,2.0,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11204.0,40.62191,-73.995022,11.0,38.0,250.0,3133741.0,3055510018.0,Bensonhurst West                                                           
41,2016 - 17,P.S. 289 George V. Brower,K289,K,17,681.0,,1,119.0,PS 284K,P.S. 288 The Shirley Tanyhill,0.0,1.0,2.0,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11213.0,40.674794,-73.942639,8.0,36.0,341.0,3031050.0,3012290028.0,Crown Heights North                                                        
42,2016 - 17,El Puente Academy for Peace and Justice,K685,K,14,285.0,,1,142.0,WILLIAM MAXWELL HS,The Maurice Sendak Community School,0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11211.0,40.705898,-73.955611,1.0,33.0,529.0,3379706.0,3022070002.0,Williamsburg                                                               
43,2016 - 17,High School of Arts and Technology,M494,M,3,442.0,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,537.0,FIORELLO LAGUARDIA HS,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,10023.0,40.774351,-73.984753,7.0,6.0,151.0,1030343.0,1011570025.0,Lincoln Square                                                             
44,2016 - 17,Satellite West Middle School,K313,K,13,383.0,209 YORK STREET CONSOLIDATED LOCATION,2,123.0,PS 304K,P.S. 307 Daniel Hale Williams |  Satellite West Middle School |  209 YORK STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11201.0,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
45,2016 - 17,P.S. K053,K053,K,15,469.0,544 7TH AVENUE CONSOLIDATED LOCATION,2,81.0,PS 086K,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11215.0,40.660024,-73.987637,7.0,38.0,147.0,3331276.0,3008800001.0,Sunset Park West                                                           
46,2016 - 17,4600 BROADWAY CONSOLIDATED LOCATION,M218,M,6,198.0,4600 BROADWAY CONSOLIDATED LOCATION,3,1065.0,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10040.0,40.86079,-73.930672,12.0,10.0,285.0,1076756.0,1021720016.0,Washington Heights North                                                   
47,2016 - 17,"High School for Law, Advocacy and Community Justic",M492,M,3,2410.0,231-249 EAST 56 STREET CONSOLIDATED LOCATION,2,1063.0,JULIA RICHMAN ED. COMPLEX,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,0.0,2.0,4.0,0.0,2.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,10023.0,40.774351,-73.984753,7.0,6.0,151.0,1030343.0,1011570025.0,Lincoln Square                                                             
48,2016 - 17,PS/IS 30 Mary White Ovington,K030,K,20,443.0,,1,950.0,JHS 143K,P.S. 329 Surfside,0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11209.0,40.63359,-74.023948,10.0,43.0,68.0,3146550.0,3058910048.0,Bay Ridge                                                                  
49,2016 - 17,Hamilton Grange Middle School,M209,M,6,592.0,,1,624.0,PS 183M,P.S. 290 Manhattan New School,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10031.0,40.820953,-73.951145,9.0,7.0,22301.0,1084132.0,1019880166.0,Manhattanville                                                             
50,2016 - 17,Wadleigh Secondary School for the Performing & Vis,M415,M,3,877.0,,1,588.0,PS 083M,P.S. 087 William Sherman,0.0,1.0,0.0,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10026.0,40.802207,-73.954142,10.0,9.0,218.0,1055204.0,1018300019.0,Central Harlem South                                                       
51,2016 - 17,Academy of Hospitality and Tourism,K408,K,17,412.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184.0,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
52,2016 - 17,P.S. 333 Manhattan School for Children,M333,M,3,223.0,154 WEST  93 STREET CONSOLIDATED LOCATION,3,692.0,PS 116M,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10025.0,40.791728,-73.970845,7.0,6.0,177.0,1032522.0,1012230005.0,Upper West Side                                                            
53,2016 - 17,M.S. 131,M131,M,2,962.0,,1,694.0,PS 126M,P.S. 130 Hernando De Soto,1.0,1.0,1.0,2.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10002.0,40.716553,-73.993092,3.0,1.0,16.0,1082489.0,1003010003.0,Chinatown                                                                  
54,2016 - 17,P.S. 308 Clara Cardwell,K308,K,13,383.0,209 YORK STREET CONSOLIDATED LOCATION,1,123.0,PS 304K,P.S. 307 Daniel Hale Williams| 209 YORK STREET CONSOLIDATED LOCATION,0.0,0.0,2.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11201.0,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
55,2016 - 17,P.S. 380 John Wayne Elementary,K380,K,14,678.0,200 WOODBINE STREET CONSOLIDATED LOCATION,2,195.0,P 370K,P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.702427,-73.952985,1.0,33.0,531.0,3061235.0,3022360009.0,Bedford                                                                    
56,2016 - 17,P.S. 003 Charrette School,M003,M,2,603.0,,1,,,P.S. 002 Meyer London,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10014.0,40.732593,-74.006466,2.0,3.0,73.0,1009872.0,1005850041.0,West Village                                                               
57,2016 - 17,P.S. 019 Asher Levy,M019,M,1,919.0,328 WEST  48 STREET CONSOLIDATED LOCATION,2,549.0,JHS 013M,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,1.0,0.0,1.0,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10003.0,40.729636,-73.983818,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
58,2016 - 17,Mott Hall High School,M304,M,5,145.0,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,603.0,PS 132M,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10030.0,40.817372,-73.947712,10.0,9.0,22102.0,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          
59,2016 - 17,P.S. 158 Bayard Taylor,M158,M,2,436.0,319 EAST 117 STREET CONSOLIDATED LOCATION,2,609.0,PS 152M,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,1.0,3.0,0.0,3.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10075.0,40.770419,-73.951135,8.0,5.0,132.0,1046411.0,1014890001.0,Lenox Hill-Roosevelt Island                                                
60,2016 - 17,P.S. 086 The Irvington,K086,K,32,388.0,,1,46.0,P753K -SCHOOL FOR CAREER DEV.,P.S. 086 The Irvington,0.0,1.0,0.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11237.0,40.700774,-73.91748,4.0,37.0,431.0,3075109.0,3032890027.0,Bushwick North                                                             
61,2016 - 17,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,K218,K,19,392.0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108.0,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,11208.0,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
62,2016 - 17,Academy for College Preparation and Career Explora,K382,K,17,1919.0,237 7 AVENUE CONSOLIDATED LOCATION,4,138.0,STREET ACADEMY,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,3.0,14.0,22.0,6.0,9.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
63,2016 - 17,P.S. 140 Nathan Straus,M140,M,1,672.0,,1,533.0,Percy E. Sutton Educ. Complex/Formerly BREAD & ROSES HS,P.S. 184m Shuang Wen,0.0,2.0,0.0,0.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10002.0,40.71925,-73.983056,3.0,1.0,2201.0,1004091.0,1003440001.0,Lower East Side                                                            
64,2016 - 17,P.S. 146,K146,K,15,975.0,,1,91.0,PS 138K,P.S. 139 Alexine A. Fenty,0.0,0.0,1.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11231.0,40.68007,-74.001377,6.0,39.0,63.0,3336036.0,3003690001.0,Carroll Gardens-Columbia Street-Red Hook                                   
