,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1592,2016 - 17,The Michael J. Petrides School,R080,R,31,310.0,,1,1022.0,TOTTENVILLE HS ,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,0.0,0.0,1.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10301.0,40.608517,-74.102078,2.0,50.0,177.0,5113169.0,5006830001.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1593,2016 - 17,1550 CROTONA PARK EAST CONSOLIDATED LOCATION,X061,X,12,691.0,888 REV J A POLITE AVE CONSOLIDATED LOCATION,2,421.0,CES 053X,P.S. 333 - The Museum School |  The Academy of the Arts |  888 REV J A POLITE AVE CONSOLIDATED LOCATION,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10460.0,40.836575,-73.892817,3.0,17.0,153.0,2009865.0,2029390045.0,Crotona Park East                                                          
1594,2016 - 17,650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,X192,X,8,339.0,650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,3,442.0,IS 203X,Urban Institute of Mathematics| Bronx Delta School| Mott Hall Community School| 650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10465.0,40.826526,-73.818417,10.0,13.0,158.0,2077130.0,2054380001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1595,2016 - 17,P.S. 072 Dr. William Dorney,X072,X,8,605.0,,1,484.0,PS 064X,P.S. 069 Journey Prep School,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10465.0,40.822604,-73.818247,10.0,13.0,158.0,2077162.0,2054400001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1596,2016 - 17,Soundview Academy for Culture and Scholarship,X448,X,8,516.0,,1,348.0,JHS 125X,P.S. 130 Abram Stevens Hewitt | 750 Prospect Avenue,1.0,1.0,0.0,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10473.0,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1597,2016 - 17,P.S. 097 Forest Park,Q097,Q,27,365.0,,1,781.0,PS 087Q,P.S. 094 David D. Porter,0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11421.0,40.694518,-73.859659,9.0,32.0,12.0,4181565.0,4088550020.0,Woodhaven                                                                  
1598,2016 - 17,"Queens High School for Information, Research, and",Q302,Q,27,2705.0,35-01 UNION STREET CONSOLIDATED LOCATION,5,735.0,ACADEMY OF AMER. STUDIES HS,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,1.0,10.0,11.0,8.0,3.0,11C,2501-3000,3.14,13.0,34.86,8.29,5.29,11691.0,40.60201,-73.762795,14.0,31.0,100802.0,4300730.0,4157360001.0,Far Rockaway-Bayswater                                                     
1599,2016 - 17,Westchester Square Academy,X558,X,8,409.0,3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,7,1272.0,MS/HS 368 INFO & NETWORK TECH,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School. |  Herbert H. Lehman Yabc |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10461.0,40.840702,-73.838545,10.0,13.0,194.0,2074045.0,2053680001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1600,2016 - 17,45-35 VAN DAM STREET CONSOLIDATED LOCATION,Q520,Q,24,1110.0,,1,1059.0,CAMPUS MAGNET HS (A.J. HS),Townsend Harris High School,0.0,0.0,2.0,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11101.0,40.744412,-73.93364,2.0,26.0,179.0,4003442.0,4002490001.0,Hunters Point-Sunnyside-West Maspeth                                       
1601,2016 - 17,Pelham Academy of Academics and Community Engageme,X468,X,11,691.0,,1,349.0,JHS 127X,P.S. 134 George F. Bristow | 1330 Bristow Street,0.0,0.0,4.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
